match_id, player_slot, account_id, hero_id, kills, deaths, assists, gold_per_min, xp_per_min, last_hits, denies, hero_damage, tower_damage, hero_healing, level, net_worth, item_0, item_1, item_2, item_3, item_4, item_5, backpack_0, backpack_1, backpack_2, team
8565529716,130,,89,1,5,2,246,253,64,1,5130,16,0,9,5633,170,75,36,75,11,63,39,0,0,dire
8565529716,131,976834981,97,1,11,4,255,222,66,3,9421,0,0,9,5839,0,1,0,11,73,73,0,0,0,dire
8565529716,132,1098984088,107,1,16,3,174,166,14,3,10734,0,0,7,3984,92,1122,569,0,0,0,0,0,0,dire
8565529618,0,143205889,77,6,5,14,672,587,163,19,10678,13044,0,15,14481,16,635,11,112,28,0,0,0,0,radiant
8565529618,1,1001387658,131,3,1,9,333,426,34,4,3187,837,0,12,7176,180,232,77,43,23,36,0,0,0,radiant
8565529618,2,333066981,54,2,1,0,589,502,170,22,3244,6847,87,13,12692,13,36,13,137,50,147,11,0,0,radiant
8565529618,3,113361418,59,20,0,5,789,977,156,19,26606,8719,0,19,17002,48,154,168,151,1,244,0,0,0,radiant
8565529618,4,308951559,21,2,1,7,360,406,46,8,9240,1960,250,12,7758,42,180,40,166,188,36,1123,0,0,radiant
8565529618,128,377810020,14,2,5,2,173,193,22,1,5610,0,125,8,3728,214,16,1,16,0,0,0,0,0,dire
8565529618,129,282922336,87,0,10,2,211,233,46,2,8147,0,0,9,4547,16,1122,42,41,92,29,16,16,0,dire
8565529618,130,148292204,111,2,8,6,173,171,8,1,4191,0,3400,7,3728,36,180,188,42,31,0,0,0,0,dire
8565529618,131,1554301642,67,3,4,4,407,417,108,5,8760,0,0,12,8770,20,36,11,98,63,170,0,0,0,dire
8565529618,132,1227645233,28,1,6,3,329,356,85,5,7862,0,0,11,7089,73,36,1,63,11,0,0,0,0,dire
8565529511,0,1511130455,87,4,7,8,387,375,14,0,14183,0,0,11,7327,0,218,254,180,0,0,0,0,0,radiant
8565529511,1,1230842913,31,2,3,4,205,257,11,3,7949,0,0,8,3881,0,0,0,0,0,0,0,0,0,radiant
8565529511,2,1290565358,106,1,7,4,342,253,31,1,13621,19,0,8,6475,36,267,41,50,0,16,0,0,0,radiant
8565529511,3,409238616,2,3,8,3,336,302,68,1,9261,0,0,9,6361,50,11,56,34,61,12,0,0,0,radiant
8565529511,4,1253152580,1,4,1,1,506,458,95,17,10067,0,0,12,9580,170,145,63,1122,34,0,20,0,0,radiant
8565529511,128,1702473561,72,7,4,8,522,403,84,8,12174,2419,0,11,9883,63,36,108,596,149,0,0,0,0,dire
8565529511,129,1598580446,28,1,0,0,397,377,87,6,1444,1976,0,11,7516,252,73,55,29,86,0,0,0,0,dire
8565529511,130,323442183,33,0,1,4,338,330,39,2,7935,1936,0,10,6399,214,218,44,1,0,0,0,0,0,dire
8565529511,131,1135177320,80,11,1,4,673,734,120,19,16756,18593,0,15,12742,16,16,16,16,16,16,0,0,0,dire
8565529511,132,464043113,50,7,8,9,419,394,37,2,12993,561,2419,11,7933,254,267,180,36,216,0,0,0,0,dire
8565529204,0,242001070,145,11,1,3,555,604,102,15,18787,3009,0,15,12025,596,50,23,596,168,21,60,0,0,radiant
8565529204,1,107589847,64,7,3,5,415,390,39,1,8136,11811,384,12,8991,254,102,180,0,27,0,0,0,0,radiant
8565529204,2,1100992477,49,3,1,5,611,604,194,18,4875,7597,0,15,13238,1,73,158,73,63,149,140,0,0,radiant
8565529204,3,197117623,18,2,0,1,595,677,174,5,2324,3513,0,16,12891,36,63,252,108,172,0,0,0,0,radiant
8565529204,4,485682777,84,3,2,11,516,475,74,10,11126,2956,0,13,11180,73,232,180,65,0,36,0,0,0,radiant
8565529204,128,314704977,94,1,2,3,420,464,133,3,7066,87,0,13,9100,36,147,77,11,63,0,0,0,0,dire
8565529204,129,1154982823,70,3,2,0,363,434,102,2,3947,0,0,12,7865,0,145,0,50,26,0,0,0,0,dire
8565529204,130,1317470617,2,0,7,2,342,373,126,6,6617,30,0,11,7410,12,11,125,50,265,60,1122,0,0,dire
8565529204,131,133134323,86,0,11,1,204,209,45,1,11517,0,0,8,4420,180,57,36,0,265,0,0,0,0,dire
8565529204,132,372026063,74,3,4,2,388,491,58,3,5998,145,0,13,8406,65,77,21,23,36,29,22,0,0,dire
8565529113,0,1472464560,86,16,2,15,565,686,103,5,18340,4475,497,18,15368,259,108,180,1107,36,0,0,0,0,radiant
8565529113,1,1792918008,26,1,6,19,271,424,17,0,6110,801,0,14,7371,214,1,254,16,43,16,0,0,0,radiant
8565529113,2,1508831862,46,16,1,9,783,996,255,12,24921,12139,0,22,21297,149,48,154,236,1,168,36,0,265,radiant
8565529113,3,1727163006,104,7,3,19,485,584,104,11,15701,1826,269,17,13192,50,1,108,127,73,0,36,11,0,radiant
8565529113,4,1081731408,137,13,1,9,506,763,95,3,20980,627,0,19,13763,41,50,1,116,36,22,21,23,0,radiant
